"","locus","num.haps","genos"
"168","Mnov_gtseq_333",2,207
"169","Mnov_gtseq_334",2,232
"170","Mnov_gtseq_335",2,231
"171","Mnov_gtseq_337",3,174
"172","Mnov_gtseq_338",2,199
"173","Mnov_gtseq_339",2,205
"174","Mnov_gtseq_340",2,191
"175","Mnov_gtseq_341",2,226
"176","Mnov_gtseq_342",2,193
"177","Mnov_gtseq_344",2,209
"178","Mnov_gtseq_345",2,213
"179","Mnov_gtseq_347",2,196
"180","Mnov_gtseq_350",2,135
"181","Mnov_gtseq_352",2,197
"182","Mnov_gtseq_353",2,199
"183","Mnov_gtseq_354",2,159
"184","Mnov_gtseq_355",2,116
"185","Mnov_gtseq_356",2,188
"186","Mnov_gtseq_357",2,194
"187","Mnov_gtseq_359",2,171
"188","Mnov_gtseq_360",2,169
"189","Mnov_gtseq_361",2,180
"190","Mnov_gtseq_363",2,212
"191","Mnov_gtseq_364",2,180
"192","Mnov_gtseq_366",2,215
"193","Mnov_gtseq_368",2,189
"194","Mnov_gtseq_37",2,204
"195","Mnov_gtseq_370",2,222
"196","Mnov_gtseq_371",2,179
"197","Mnov_gtseq_372",2,201
"198","Mnov_gtseq_373",2,170
"199","Mnov_gtseq_374",2,187
"200","Mnov_gtseq_376",2,199
"201","Mnov_gtseq_377",2,183
"202","Mnov_gtseq_378",2,211
"203","Mnov_gtseq_379",2,215
"204","Mnov_gtseq_38",2,207
"205","Mnov_gtseq_380",2,185
"206","Mnov_gtseq_383",2,188
"207","Mnov_gtseq_384",2,213
"208","Mnov_gtseq_386",2,180
"209","Mnov_gtseq_388",2,162
"210","Mnov_gtseq_39",2,235
"211","Mnov_gtseq_390",2,192
"212","Mnov_gtseq_391",2,202
"213","Mnov_gtseq_394",2,220
"214","Mnov_gtseq_397",2,224
"215","Mnov_gtseq_398",2,200
"216","Mnov_gtseq_399",2,235
"217","Mnov_gtseq_40",2,206
"218","Mnov_gtseq_400",2,179
"219","Mnov_gtseq_401",2,210
"220","Mnov_gtseq_402",2,192
"221","Mnov_gtseq_405",2,214
"222","Mnov_gtseq_406",2,178
"223","Mnov_gtseq_407",2,199
"224","Mnov_gtseq_41",2,196
"225","Mnov_gtseq_410",2,195
"226","Mnov_gtseq_413",2,230
"227","Mnov_gtseq_415",2,187
"228","Mnov_gtseq_416",2,247
"229","Mnov_gtseq_417",2,159
"230","Mnov_gtseq_42",2,226
"231","Mnov_gtseq_420",2,161
"232","Mnov_gtseq_421",3,179
"233","Mnov_gtseq_424",2,205
"234","Mnov_gtseq_426",2,235
"235","Mnov_gtseq_43",2,229
"236","Mnov_gtseq_431",2,176
"237","Mnov_gtseq_434",2,232
"238","Mnov_gtseq_438",2,158
"239","Mnov_gtseq_44",2,158
"240","Mnov_gtseq_440",2,216
"241","Mnov_gtseq_441",2,206
"242","Mnov_gtseq_442",2,115
"243","Mnov_gtseq_444",2,207
"244","Mnov_gtseq_445",2,212
"245","Mnov_gtseq_446",2,196
"246","Mnov_gtseq_447",2,204
"247","Mnov_gtseq_448",2,188
"248","Mnov_gtseq_45",2,197
"249","Mnov_gtseq_451",2,235
"250","Mnov_gtseq_452",2,205
"251","Mnov_gtseq_454",2,184
"252","Mnov_gtseq_46",2,203
"253","Mnov_gtseq_461",2,193
"254","Mnov_gtseq_462",2,187
"255","Mnov_gtseq_463",2,184
"256","Mnov_gtseq_465",2,165
"257","Mnov_gtseq_468",2,219
"258","Mnov_gtseq_47",2,192
"259","Mnov_gtseq_470",2,210
"260","Mnov_gtseq_471",2,152
"261","Mnov_gtseq_472",2,195
"262","Mnov_gtseq_473",2,203
"263","Mnov_gtseq_475",2,220
"264","Mnov_gtseq_477",2,229
"265","Mnov_gtseq_478",2,209
"266","Mnov_gtseq_479",2,224
"267","Mnov_gtseq_48",2,194
"268","Mnov_gtseq_50",2,213
"269","Mnov_gtseq_502",2,192
"270","Mnov_gtseq_504",2,214
"271","Mnov_gtseq_506",2,207
"272","Mnov_gtseq_507",2,215
"273","Mnov_gtseq_509",2,180
"274","Mnov_gtseq_51",2,184
"275","Mnov_gtseq_511",2,178
"276","Mnov_gtseq_513",2,238
"277","Mnov_gtseq_514",2,207
"278","Mnov_gtseq_515",2,192
"279","Mnov_gtseq_516",2,2
"280","Mnov_gtseq_517",2,177
"281","Mnov_gtseq_518",2,234
"282","Mnov_gtseq_520",2,198
"283","Mnov_gtseq_521",2,188
"284","Mnov_gtseq_522",2,203
"285","Mnov_gtseq_523",2,209
"286","Mnov_gtseq_526",2,150
"287","Mnov_gtseq_529",2,157
"288","Mnov_gtseq_53",2,210
"289","Mnov_gtseq_532",2,180
"290","Mnov_gtseq_533",2,207
"291","Mnov_gtseq_536",2,128
"292","Mnov_gtseq_539",2,181
"293","Mnov_gtseq_54",2,218
"294","Mnov_gtseq_541",2,298
"295","Mnov_gtseq_543",2,210
"296","Mnov_gtseq_544",2,225
"297","Mnov_gtseq_545",2,199
"298","Mnov_gtseq_546",2,188
"299","Mnov_gtseq_547",2,227
"300","Mnov_gtseq_548",2,193
"301","Mnov_gtseq_549",2,188
"302","Mnov_gtseq_55",2,194
"303","Mnov_gtseq_550",2,151
"304","Mnov_gtseq_553",2,164
"305","Mnov_gtseq_56",2,204
"306","Mnov_gtseq_57",2,219
"307","Mnov_gtseq_58",2,185
"308","Mnov_gtseq_6",2,184
"309","Mnov_gtseq_60",2,206
"310","Mnov_gtseq_61",2,217
"311","Mnov_gtseq_63",2,194
"312","Mnov_gtseq_64",2,215
"313","Mnov_gtseq_65",2,228
"314","Mnov_gtseq_66",2,210
"315","Mnov_gtseq_67",2,236
"316","Mnov_gtseq_68",2,206
"317","Mnov_gtseq_69",2,222
"318","Mnov_gtseq_70",2,205
"319","Mnov_gtseq_71",2,210
"320","Mnov_gtseq_72",2,233
"321","Mnov_gtseq_73",2,224
"322","Mnov_gtseq_74",2,224
"323","Mnov_gtseq_75",3,215
"324","Mnov_gtseq_8",2,199
"325","Mnov_gtseq_80",2,195
"326","Mnov_gtseq_81",2,191
"327","Mnov_gtseq_82",2,216
"328","Mnov_gtseq_83",2,230
"329","Mnov_gtseq_84",2,229
"330","Mnov_gtseq_86",2,224
"331","Mnov_gtseq_88",2,196
"332","Mnov_gtseq_90",2,246
"333","Mnov_gtseq_91",2,232
"334","Mnov_gtseq_92",2,201
"335","Mnov_gtseq_93",2,214
"336","Mnov_gtseq_94",2,205
"337","Mnov_gtseq_97",2,227
"338","Mnov_gtseq_98",2,201
