LABID,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin
z0053847,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,327,323
z0108480,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,327,320
z0195714,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,327,325
z0195720,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,327,317
z0195725,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,327,308
z0196722,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,327,323
z0196727,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,327,324
z0196760,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,327,324
z0196763,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,327,320
z0196772,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,327,324
z0196794,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,327,320
z0196826,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,327,320
z0196849,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,327,322
z0196852,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,327,324
z0196861,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,327,325
z0196862,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,327,324
z0197662,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,327,320
z0037607,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,326,321
z0040287,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,326,316
z0041507,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,326,304
z0045352,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,326,314
z0045789,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,326,324
z0053071,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,326,316
z0053754,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,323
z0056085,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,326,324
z0056384,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,314
z0063092,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,326,320
z0068471,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,326,321
z0175928,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,322
z0195722,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,325
z0195741,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,319
z0195743,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,324
z0196709,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,316
z0196718,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,324
z0196732,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,316
z0196747,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,312
z0196758,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,318
z0196767,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,315
z0196775,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,319
z0196777,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,322
z0196781,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,322
z0196864,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,326,319
z0197673,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,326,319
z0045720,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,325,322
z0045739,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,325,321
z0055962,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,325,308
z0055996,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,325,316
z0055997,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,325,313
z0175377,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,325,320
z0187846,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,325,314
z0195700,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,325,320
z0195727,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,325,310
z0195730,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,325,321
z0195739,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,325,320
z0196690,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,325,317
z0196726,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,325,318
z0196729,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,325,316
z0196731,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,325,321
z0196748,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,325,321
z0196753,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,325,320
