"","Sample","Plate","Row","Column","LABID","Miseq.num","fname2","tot.reads","tot.aligned.reads","median.aligned.reads.per.loc","gt.10.aligned","gt.20.aligned","pct.on.target"
"307","z0196724_S307_L001_R1.fastq.gz",6,"C",11,"z0196724",307,"",16769,13437,21,266,188,0.801300017890155
"308","z0196725_S308_L001_R1.fastq.gz",6,"D",11,"z0196725",308,"",230713,219306,471.5,357,354,0.950557619206547
"309","z0196729_S309_L001_R1.fastq.gz",6,"E",11,"z0196729",309,"",102238,97103,196,354,343,0.949774056613001
"310","z0196731_S310_L001_R1.fastq.gz",6,"F",11,"z0196731",310,"",183680,175905,388,358,355,0.957670949477352
"311","z0196734_S311_L001_R1.fastq.gz",6,"G",11,"z0196734",311,"",106424,96362,178,356,342,0.905453657069834
"312","z0040513_S312_L001_R1.fastq.gz",6,"H",11,"z0040513",312,"",28481,9952,21,291,196,0.349425933078192
"313","z0041526_S313_L001_R1.fastq.gz",6,"A",12,"z0041526",313,"",1121,57,0,0,0,0.0508474576271186
"314","z0043475_S314_L001_R1.fastq.gz",6,"B",12,"z0043475",314,"",59436,9997,25.5,313,237,0.168197725284339
"315","z0043994_S315_L001_R1.fastq.gz",6,"C",12,"z0043994",315,"",13043,4824,9,170,70,0.369853561297248
"316","z0037609_S316_L001_R1.fastq.gz",6,"D",12,"z0037609",316,"",38863,312,0,0,0,0.00802820163137174
"317","z0051400_S317_L001_R1.fastq.gz",6,"E",12,"z0051400",317,"",382371,342099,914,362,361,0.894678205198616
"318","z0195658_S318_L001_R1.fastq.gz",6,"F",12,"z0195658",318,"",411,214,0,0,0,0.520681265206813
"319","z0195716_S319_L001_R1.fastq.gz",6,"G",12,"z0195716",319,"",286077,264402,654.5,362,358,0.924233685336465
"320","z0196725_S320_L001_R1.fastq.gz",6,"H",12,"z0196725",320,"",187440,174083,370.5,358,355,0.928739863422962
"321","z0196739_S321_L001_R1.fastq.gz",7,"A",1,"z0196739",321,"",26031,5402,7,145,51,0.207521800929661
"322","z0196740_S322_L001_R1.fastq.gz",7,"B",1,"z0196740",322,"",66487,27044,49,336,285,0.406756207980507
"323","z0196751_S323_L001_R1.fastq.gz",7,"C",1,"z0196751",323,"",256312,227577,505.5,363,356,0.887890539654796
"324","z0196752_S324_L001_R1.fastq.gz",7,"D",1,"z0196752",324,"",349756,306582,783,363,359,0.876559658733517
"325","z0196754_S325_L001_R1.fastq.gz",7,"E",1,"z0196754",325,"",493965,448033,1067.5,361,358,0.9070136548136
"326","z0196763_S326_L001_R1.fastq.gz",7,"F",1,"z0196763",326,"",143354,125418,305.5,356,350,0.874883156382103
