"","Sample","Plate","Row","Column","LABID","Miseq.num","fname2","tot.reads","tot.aligned.reads","median.aligned.reads.per.loc","gt.10.aligned","gt.20.aligned","pct.on.target"
"16","z0195665_S16_L001_R1.fastq.gz",1,"H",2,"z0195665",28292,"z0195665_S16_L001_R1.fastq.gz",91498,4272,1,19,6,0.0466895451266694
"17","z0195667_S17_L001_R1.fastq.gz",1,"A",3,"z0195667",28293,"z0195667_S17_L001_R1.fastq.gz",613251,184649,269.5,310,299,0.301098571384311
"18","z0195668_S18_L001_R1.fastq.gz",1,"B",3,"z0195668",28294,"z0195668_S18_L001_R1.fastq.gz",353142,58499,65,269,243,0.165652910160785
"19","z0195669_S19_L001_R1.fastq.gz",1,"C",3,"z0195669",28295,"z0195669_S19_L001_R1.fastq.gz",47011,3931,1,53,18,0.0836187275318542
"20","z0195670_S20_L001_R1.fastq.gz",1,"D",3,"z0195670",28296,"z0195670_S20_L001_R1.fastq.gz",86918,12251,3,111,65,0.140948940380589
"21","z0195671_S21_L001_R1.fastq.gz",1,"E",3,"z0195671",28297,"z0195671_S21_L001_R1.fastq.gz",102241,13983,4,138,95,0.136765094238124
"22","z0195672_S22_L001_R1.fastq.gz",1,"F",3,"z0195672",28298,"z0195672_S22_L001_R1.fastq.gz",64095,4376,1,74,34,0.0682736562914424
"23","z0195673_S23_L001_R1.fastq.gz",1,"G",3,"z0195673",28299,"z0195673_S23_L001_R1.fastq.gz",354762,43405,39.5,255,223,0.122349631583992
"24","z0195674_S24_L001_R1.fastq.gz",1,"H",3,"z0195674",28300,"z0195674_S24_L001_R1.fastq.gz",43277,1341,0,4,1,0.030986436213231
"25","z0195675_S25_L001_R1.fastq.gz",1,"A",4,"z0195675",28301,"z0195675_S25_L001_R1.fastq.gz",271588,16700,10,187,132,0.0614901983887359
"26","z0195677_S26_L001_R1.fastq.gz",1,"B",4,"z0195677",28302,"z0195677_S26_L001_R1.fastq.gz",681531,154603,132,297,263,0.226846614460677
"27","z0195678_S27_L001_R1.fastq.gz",1,"C",4,"z0195678",28303,"z0195678_S27_L001_R1.fastq.gz",106814,13247,3.5,133,77,0.124019323309678
"28","z0195679_S28_L001_R1.fastq.gz",1,"D",4,"z0195679",28304,"z0195679_S28_L001_R1.fastq.gz",51399,3841,0,22,12,0.0747290803323022
"29","z0195680_S29_L001_R1.fastq.gz",1,"E",4,"z0195680",28305,"z0195680_S29_L001_R1.fastq.gz",48646,3254,0.5,40,11,0.0668914196439584
"30","z0195681_S30_L001_R1.fastq.gz",1,"F",4,"z0195681",28306,"z0195681_S30_L001_R1.fastq.gz",37157,2556,1,32,9,0.0687891918077348
"31","z0195682_S31_L001_R1.fastq.gz",1,"G",4,"z0195682",28307,"z0195682_S31_L001_R1.fastq.gz",208485,20862,10.5,189,147,0.100064752859918
"32","z0195684_S32_L001_R1.fastq.gz",1,"H",4,"z0195684",28308,"z0195684_S32_L001_R1.fastq.gz",104320,8293,2,111,58,0.079495782208589
"33","z0040985_S33_L001_R1.fastq.gz",4,"A",1,"z0040985",33,"",2973,888,2,6,0,0.298688193743693
"34","z0041519_S34_L001_R1.fastq.gz",4,"B",1,"z0041519",34,"",827,111,0,0,0,0.134220072551391
"35","z0040961_S35_L001_R1.fastq.gz",4,"C",1,"z0040961",35,"",35994,21923,49,350,312,0.609073734511307
"36","z0041051_S36_L001_R1.fastq.gz",4,"D",1,"z0041051",36,"",12939,6516,16,270,132,0.503593786227684
"37","z0041243_S37_L001_R1.fastq.gz",4,"E",1,"z0041243",37,"",7951,5773,12.5,210,124,0.726072192177085
"38","z0041250_S38_L001_R1.fastq.gz",4,"F",1,"z0041250",38,"",7214,3879,10,194,46,0.537704463543111
"39","z0043243_S39_L001_R1.fastq.gz",4,"G",1,"z0043243",39,"",5569,3652,9,180,33,0.655773029269169
"40","z0043747_S40_L001_R1.fastq.gz",4,"H",1,"z0043747",40,"",1617,537,1,1,0,0.332096474953618
"41","z0043789_S41_L001_R1.fastq.gz",4,"A",2,"z0043789",41,"",1548,764,2,3,0,0.493540051679587
"42","z0043807_S42_L001_R1.fastq.gz",4,"B",2,"z0043807",42,"",140309,128969,291,362,353,0.91917838485058
"43","z0043819_S43_L001_R1.fastq.gz",4,"C",2,"z0043819",43,"",722,124,0,1,0,0.171745152354571
"44","z0043876_S44_L001_R1.fastq.gz",4,"D",2,"z0043876",44,"",5628,3493,7,149,40,0.620646766169154
"45","z0043877_S45_L001_R1.fastq.gz",4,"E",2,"z0043877",45,"",17548,10514,25,318,233,0.599156599042626
"46","z0043915_S46_L001_R1.fastq.gz",4,"F",2,"z0043915",46,"",16542,10718,26,323,232,0.647926490146294
"47","z0047854_S47_L001_R1.fastq.gz",4,"G",2,"z0047854",47,"",20046,13842,28,317,246,0.690511822807543
"48","z0040275_S48_L001_R1.fastq.gz",4,"H",2,"z0040275",48,"",8354,4976,13,248,72,0.595642805841513
"49","z0040287_S49_L001_R1.fastq.gz",4,"A",3,"z0040287",49,"",25015,14714,38.5,353,315,0.588207075754547
"50","z0041233_S50_L001_R1.fastq.gz",4,"B",3,"z0041233",50,"",33893,28309,67.5,358,342,0.835246216032809
"51","z0041248_S51_L001_R1.fastq.gz",4,"C",3,"z0041248",51,"",5989,3941,10,192,43,0.658039739522458
"52","z0043267_S52_L001_R1.fastq.gz",4,"D",3,"z0043267",52,"",1192,354,1,0,0,0.296979865771812
"53","z0043278_S53_L001_R1.fastq.gz",4,"E",3,"z0043278",53,"",9369,6207,15,280,128,0.662504002561639
"54","z0043566_S54_L001_R1.fastq.gz",4,"F",3,"z0043566",54,"",770,517,1,0,0,0.671428571428571
"55","z0043572_S55_L001_R1.fastq.gz",4,"G",3,"z0043572",55,"",306290,290464,647.5,366,366,0.948330014038983
"56","z0043599_S56_L001_R1.fastq.gz",4,"H",3,"z0043599",56,"",5718,3018,7,139,11,0.527806925498426
"57","z0043631_S57_L001_R1.fastq.gz",4,"A",4,"z0043631",57,"",1878,670,1,1,0,0.356762513312034
"58","z0043642_S58_L001_R1.fastq.gz",4,"B",4,"z0043642",58,"",93857,88035,190,363,357,0.937969464184877
"59","z0043649_S59_L001_R1.fastq.gz",4,"C",4,"z0043649",59,"",140338,132206,258.5,361,356,0.942054183471334
"60","z0043652_S60_L001_R1.fastq.gz",4,"D",4,"z0043652",60,"",114944,103750,219,361,356,0.902613446547884
"61","z0043668_S61_L001_R1.fastq.gz",4,"E",4,"z0043668",61,"",1607,703,1,6,0,0.437461107654014
"62","z0043684_S62_L001_R1.fastq.gz",4,"F",4,"z0043684",62,"",299,125,0,0,0,0.418060200668896
"63","z0043686_S63_L001_R1.fastq.gz",4,"G",4,"z0043686",63,"",670,255,0,0,0,0.380597014925373
"64","z0043693_S64_L001_R1.fastq.gz",4,"H",4,"z0043693",64,"",370,160,0,0,0,0.432432432432432
"65","z0043704_S65_L001_R1.fastq.gz",4,"A",5,"z0043704",65,"",737,100,0,0,0,0.135685210312076
"66","z0043898_S66_L001_R1.fastq.gz",4,"B",5,"z0043898",66,"",2354,761,1,6,1,0.323279524214104
"67","z0043905_S67_L001_R1.fastq.gz",4,"C",5,"z0043905",67,"",219,95,0,0,0,0.4337899543379
"68","z0043934_S68_L001_R1.fastq.gz",4,"D",5,"z0043934",68,"",294,244,0,0,0,0.829931972789116
"69","z0043940_S69_L001_R1.fastq.gz",4,"E",5,"z0043940",69,"",10986,7940,20,278,197,0.72273803022028
"70","z0043954_S70_L001_R1.fastq.gz",4,"F",5,"z0043954",70,"",188684,174155,342.5,364,354,0.922998240444341
"71","z0043966_S71_L001_R1.fastq.gz",4,"G",5,"z0043966",71,"",35147,32556,66,343,313,0.926281048169118
"72","z0043980_S72_L001_R1.fastq.gz",4,"H",5,"z0043980",72,"",235123,203251,412.5,366,364,0.86444541793019
"73","z0044432_S73_L001_R1.fastq.gz",4,"A",6,"z0044432",73,"",30002,15625,30,285,224,0.520798613425772
"74","z0047562_S74_L001_R1.fastq.gz",4,"B",6,"z0047562",74,"",29317,24513,46.5,318,272,0.836136030289593
"75","z0047601_S75_L001_R1.fastq.gz",4,"C",6,"z0047601",75,"",2274,147,0,1,0,0.0646437994722955
"76","z0047602_S76_L001_R1.fastq.gz",4,"D",6,"z0047602",76,"",411,197,0,0,0,0.479318734793187
"77","z0047613_S77_L001_R1.fastq.gz",4,"E",6,"z0047613",77,"",97,49,0,0,0,0.505154639175258
"78","z0040308_S78_L001_R1.fastq.gz",4,"F",6,"z0040308",78,"",1258,187,0,1,0,0.148648648648649
"79","z0040333_S79_L001_R1.fastq.gz",4,"G",6,"z0040333",79,"",68981,63309,144.5,362,350,0.917774459633812
"80","z0040357_S80_L001_R1.fastq.gz",4,"H",6,"z0040357",80,"",75598,60265,110,351,324,0.797177173999312
"81","z0040364_S81_L001_R1.fastq.gz",4,"A",7,"z0040364",81,"",79404,67447,162.5,364,362,0.849415646566924
"82","z0040377_S82_L001_R1.fastq.gz",4,"B",7,"z0040377",82,"",413,150,0,0,0,0.36319612590799
"83","z0040387_S83_L001_R1.fastq.gz",4,"C",7,"z0040387",83,"",296,135,0,0,0,0.456081081081081
"84","z0040403_S84_L001_R1.fastq.gz",4,"D",7,"z0040403",84,"",2826,966,1,11,2,0.341825902335456
"85","z0040439_S85_L001_R1.fastq.gz",4,"E",7,"z0040439",85,"",680274,649476,1526.5,367,364,0.954727065858757
"86","z0040451_S86_L001_R1.fastq.gz",4,"F",7,"z0040451",86,"",301,134,0,0,0,0.445182724252492
"87","z0040465_S87_L001_R1.fastq.gz",4,"G",7,"z0040465",87,"",13533,8574,15.5,254,156,0.633562403014853
"88","z0040960_S88_L001_R1.fastq.gz",4,"H",7,"z0040960",88,"",3999,1855,4,31,2,0.463865966491623
"89","z0041026_S89_L001_R1.fastq.gz",4,"A",8,"z0041026",89,"",806417,766027,1956.5,368,367,0.949914250319624
"90","z0041072_S90_L001_R1.fastq.gz",4,"B",8,"z0041072",90,"",1358,236,0,0,0,0.173784977908689
"91","z0041115_S91_L001_R1.fastq.gz",4,"C",8,"z0041115",91,"",71594,63779,119,349,332,0.890842808056541
"92","z0041145_S92_L001_R1.fastq.gz",4,"D",8,"z0041145",92,"",3092,502,1,1,1,0.16235446313066
"93","z0041153_S93_L001_R1.fastq.gz",4,"E",8,"z0041153",93,"",371,180,0,0,0,0.485175202156334
"94","z0041174_S94_L001_R1.fastq.gz",4,"F",8,"z0041174",94,"",149,76,0,0,0,0.51006711409396
"95","z0041274_S95_L001_R1.fastq.gz",4,"G",8,"z0041274",95,"",3038,1613,2,49,9,0.530941408821593
"96","z0041465_S96_L001_R1.fastq.gz",4,"H",8,"z0041465",96,"",11951,5992,15,276,102,0.501380637603548
"97","z0041472_S97_L001_R1.fastq.gz",4,"A",9,"z0041472",97,"",20326,15999,43,357,322,0.78711994489816
"98","z0041480_S98_L001_R1.fastq.gz",4,"B",9,"z0041480",98,"",17325,13629,35,351,305,0.786666666666667
"99","z0041483_S99_L001_R1.fastq.gz",4,"C",9,"z0041483",99,"",242390,220045,464.5,365,365,0.907813853706836
"100","z0041494_S100_L001_R1.fastq.gz",4,"D",9,"z0041494",100,"",5289,3448,8,156,33,0.651919077330308
"101","z0041498_S101_L001_R1.fastq.gz",4,"E",9,"z0041498",101,"",61501,56210,133,365,357,0.91396887855482
"102","z0041501_S102_L001_R1.fastq.gz",4,"F",9,"z0041501",102,"",77242,66265,150,362,356,0.857888195541286
"103","z0041507_S103_L001_R1.fastq.gz",4,"G",9,"z0041507",103,"",24369,18425,44,354,320,0.756083548770979
"104","z0041512_S104_L001_R1.fastq.gz",4,"H",9,"z0041512",104,"",826519,753139,2037.5,366,364,0.91121801192713
"105","z0041514_S105_L001_R1.fastq.gz",4,"A",10,"z0041514",105,"",556,38,0,0,0,0.0683453237410072
"106","z0041522_S106_L001_R1.fastq.gz",4,"B",10,"z0041522",106,"",19707,15554,37,340,291,0.789262698533516
"107","z0041527_S107_L001_R1.fastq.gz",4,"C",10,"z0041527",107,"",11943,8965,23,311,222,0.750648915682827
"108","z0043468_S108_L001_R1.fastq.gz",4,"D",10,"z0043468",108,"",481,108,0,0,0,0.224532224532225
"109","z0043477_S109_L001_R1.fastq.gz",4,"E",10,"z0043477",109,"",1402958,1304818,2819,368,367,0.930047799007526
"110","z0043478_S110_L001_R1.fastq.gz",4,"F",10,"z0043478",110,"",56159,49635,114,359,348,0.883829840274934
"111","z0043481_S111_L001_R1.fastq.gz",4,"G",10,"z0043481",111,"",159613,143620,315,365,362,0.899801394623245
"112","z0043487_S112_L001_R1.fastq.gz",4,"H",10,"z0043487",112,"",4741,1678,4,34,2,0.353933769246994
"113","z0043488_S113_L001_R1.fastq.gz",4,"A",11,"z0043488",113,"",6835,2442,5,87,9,0.357278712509144
"114","z0043489_S114_L001_R1.fastq.gz",4,"B",11,"z0043489",114,"",9692,6009,15,267,119,0.619995872884853
"115","z0043491_S115_L001_R1.fastq.gz",4,"C",11,"z0043491",115,"",3439,2449,5,95,15,0.712125617912184
"116","z0043493_S116_L001_R1.fastq.gz",4,"D",11,"z0043493",116,"",53403,45650,101.5,360,348,0.85482089021216
"117","z0043494_S117_L001_R1.fastq.gz",4,"E",11,"z0043494",117,"",10263,6758,15.5,272,145,0.658481925362954
"118","z0043496_S118_L001_R1.fastq.gz",4,"F",11,"z0043496",118,"",7820,3230,5.5,112,34,0.41304347826087
"119","z0043498_S119_L001_R1.fastq.gz",4,"G",11,"z0043498",119,"",4888,2327,5,71,3,0.476063829787234
"120","z0051888_S120_L001_R1.fastq.gz",4,"H",11,"z0051888",120,"",3293,103,0,1,0,0.0312784694807167
"121","z0061982_S121_L001_R1.fastq.gz",4,"A",12,"z0061982",121,"",46,22,0,0,0,0.478260869565217
"122","z0175378_S122_L001_R1.fastq.gz",4,"B",12,"z0175378",122,"",259,114,0,0,0,0.44015444015444
"123","z0187885_S123_L001_R1.fastq.gz",4,"C",12,"z0187885",123,"",1479,94,0,1,1,0.0635564570655849
"124","z0041248_S124_L001_R1.fastq.gz",4,"D",12,"z0041248",124,"",1574,285,0,0,0,0.181067344345616
"125","z0043940_S125_L001_R1.fastq.gz",4,"E",12,"z0043940",125,"",1374,372,1,0,0,0.270742358078603
"126","z0040960_S126_L001_R1.fastq.gz",4,"F",12,"z0040960",126,"",406,116,0,0,0,0.285714285714286
"127","z0041472_S127_L001_R1.fastq.gz",4,"G",12,"z0041472",127,"",38400,24819,62.5,359,346,0.646328125
"128","z0043489_S128_L001_R1.fastq.gz",4,"H",12,"z0043489",128,"",3726,319,0,0,0,0.0856146001073537
"129","z0043504_S129_L001_R1.fastq.gz",5,"A",1,"z0043504",129,"",1199,386,1,1,1,0.321934945788157
"130","z0043513_S130_L001_R1.fastq.gz",5,"B",1,"z0043513",130,"",6603,2395,4,73,12,0.362713917916099
"131","z0044017_S131_L001_R1.fastq.gz",5,"C",1,"z0044017",131,"",46201,40917,79.5,336,307,0.88563018116491
"132","z0044019_S132_L001_R1.fastq.gz",5,"D",1,"z0044019",132,"",51805,43559,78.5,337,303,0.840826175079626
"133","z0044023_S133_L001_R1.fastq.gz",5,"E",1,"z0044023",133,"",1031,517,1,1,0,0.501454898157129
"134","z0044033_S134_L001_R1.fastq.gz",5,"F",1,"z0044033",134,"",20068,11532,17,250,170,0.574646202910106
