"","locus","num.haps","genos"
"226","Mnov_gtseq_426",2,436
"227","Mnov_gtseq_43",2,457
"228","Mnov_gtseq_431",2,305
"229","Mnov_gtseq_434",2,433
"230","Mnov_gtseq_438",2,150
"231","Mnov_gtseq_44",2,250
"232","Mnov_gtseq_440",2,344
"233","Mnov_gtseq_441",2,321
"234","Mnov_gtseq_442",2,86
"235","Mnov_gtseq_444",2,246
"236","Mnov_gtseq_445",2,144
"237","Mnov_gtseq_446",2,336
"238","Mnov_gtseq_447",2,363
"239","Mnov_gtseq_448",2,326
"240","Mnov_gtseq_45",2,394
"241","Mnov_gtseq_451",2,436
"242","Mnov_gtseq_452",2,353
"243","Mnov_gtseq_454",2,141
"244","Mnov_gtseq_46",2,420
"245","Mnov_gtseq_461",2,408
"246","Mnov_gtseq_462",2,110
"247","Mnov_gtseq_463",2,343
"248","Mnov_gtseq_465",2,72
"249","Mnov_gtseq_468",2,424
"250","Mnov_gtseq_47",2,392
"251","Mnov_gtseq_470",2,424
"252","Mnov_gtseq_471",2,178
"253","Mnov_gtseq_472",2,311
"254","Mnov_gtseq_473",2,338
"255","Mnov_gtseq_475",2,419
"256","Mnov_gtseq_477",2,23
"257","Mnov_gtseq_478",2,41
"258","Mnov_gtseq_479",2,431
"259","Mnov_gtseq_48",2,409
"260","Mnov_gtseq_50",2,431
"261","Mnov_gtseq_502",2,321
"262","Mnov_gtseq_504",2,356
"263","Mnov_gtseq_507",2,365
"264","Mnov_gtseq_509",2,215
"265","Mnov_gtseq_51",2,358
"266","Mnov_gtseq_511",2,123
"267","Mnov_gtseq_513",2,185
"268","Mnov_gtseq_514",2,357
"269","Mnov_gtseq_515",2,263
"270","Mnov_gtseq_516",2,13
"271","Mnov_gtseq_517",2,320
"272","Mnov_gtseq_518",2,452
"273","Mnov_gtseq_520",2,200
"274","Mnov_gtseq_521",2,151
"275","Mnov_gtseq_522",2,356
"276","Mnov_gtseq_523",2,401
"277","Mnov_gtseq_526",3,144
"278","Mnov_gtseq_529",2,180
"279","Mnov_gtseq_53",2,404
"280","Mnov_gtseq_532",2,190
"281","Mnov_gtseq_533",2,308
"282","Mnov_gtseq_536",2,111
"283","Mnov_gtseq_539",2,292
"284","Mnov_gtseq_54",2,381
"285","Mnov_gtseq_541",2,548
"286","Mnov_gtseq_544",2,374
"287","Mnov_gtseq_545",2,332
"288","Mnov_gtseq_546",2,229
"289","Mnov_gtseq_547",2,436
"290","Mnov_gtseq_548",2,380
"291","Mnov_gtseq_549",2,328
"292","Mnov_gtseq_55",2,386
"293","Mnov_gtseq_550",2,68
"294","Mnov_gtseq_553",2,143
"295","Mnov_gtseq_56",2,405
"296","Mnov_gtseq_57",2,185
"297","Mnov_gtseq_58",2,352
"298","Mnov_gtseq_6",2,388
"299","Mnov_gtseq_60",2,388
"300","Mnov_gtseq_61",2,438
"301","Mnov_gtseq_63",2,382
"302","Mnov_gtseq_64",2,429
"303","Mnov_gtseq_65",2,451
"304","Mnov_gtseq_66",3,410
"305","Mnov_gtseq_67",2,461
"306","Mnov_gtseq_68",3,393
"307","Mnov_gtseq_69",2,439
"308","Mnov_gtseq_71",2,409
"309","Mnov_gtseq_72",2,451
"310","Mnov_gtseq_73",2,438
"311","Mnov_gtseq_74",2,447
"312","Mnov_gtseq_75",3,399
"313","Mnov_gtseq_79",1,364
"314","Mnov_gtseq_8",2,367
"315","Mnov_gtseq_80",2,342
"316","Mnov_gtseq_81",2,342
"317","Mnov_gtseq_82",2,423
"318","Mnov_gtseq_83",2,431
"319","Mnov_gtseq_84",2,441
"320","Mnov_gtseq_86",2,450
"321","Mnov_gtseq_88",2,345
"322","Mnov_gtseq_90",2,443
"323","Mnov_gtseq_91",2,331
"324","Mnov_gtseq_92",2,392
"325","Mnov_gtseq_93",2,336
"326","Mnov_gtseq_94",2,401
"327","Mnov_gtseq_97",2,175
"328","Mnov_gtseq_98",2,428
