,Sample,Plate,Row,Column,LABID,Miseq.num,tot.reads,tot.aligned.reads,median.aligned.reads.per.loc,gt.10.aligned,gt.20.aligned,well,% on target
203,z0051324_Mnov_MS51_n0028479_R1.fastq.gz,3,C,2,z0051324,28479,4582,3427,6,91,26,C2,0.748
104,z0196723_Mnov_MS51_n0028380_R1.fastq.gz,2,H,1,z0196723,28380,10100,7573,13,226,120,H1,0.750
187,z0196833_Mnov_MS51_n0028463_R1.fastq.gz,2,C,12,z0196833,28463,30345,22996,45,339,285,C12,0.758
171,z0197660_Mnov_MS51_n0028447_R1.fastq.gz,2,C,10,z0197660,28447,13840,10569,13,201,160,C10,0.764
330,z0197658_Mnov_MS51_n0028606_R1.fastq.gz,8,B,6,z0197658,28606,7560,5795,4,127,72,B6,0.767
216,z0053760_Mnov_MS51_n0028492_R1.fastq.gz,3,H,3,z0053760,28492,9834,7638,7,152,85,H3,0.777
232,z0056389_Mnov_MS51_n0028508_R1.fastq.gz,3,H,5,z0056389,28508,30926,24072,12,197,140,H5,0.778
141,z0196830_Mnov_MS51_n0028417_R1.fastq.gz,2,E,6,z0196830,28417,21780,16964,28,297,234,E6,0.779
3,z0195644_Mnov_MS51_n0028279_R1.fastq.gz,1,C,1,z0195644,28279,14230,11094,29.5,352,300,C1,0.780
9,z0195651_Mnov_MS51_n0028285_R1.fastq.gz,1,A,2,z0195651,28285,6705,5234,14,246,89,A2,0.781
138,z0196806_Mnov_MS51_n0028414_R1.fastq.gz,2,B,6,z0196806,28414,12083,9568,16,243,146,B6,0.792
247,z0101085_Mnov_MS51_n0028523_R1.fastq.gz,3,G,7,z0101085,28523,200,159,0,0,0,G7,0.795
143,z0196832_Mnov_MS51_n0028419_R1.fastq.gz,2,G,6,z0196832,28419,28035,22351,41.5,316,266,G6,0.797
135,z0196793_Mnov_MS51_n0028411_R1.fastq.gz,2,G,5,z0196793,28411,30446,24353,46,330,288,G5,0.800
290,z0029833_Mnov_MS51_n0028566_R1.fastq.gz,8,B,1,z0029833,28566,528242,423074,1146.5,363,362,B1,0.801
163,z0196886_Mnov_MS51_n0028439_R1.fastq.gz,2,C,9,z0196886,28439,27219,21849,41,329,275,C9,0.803
186,z0196762_Mnov_MS51_n0028462_R1.fastq.gz,2,B,12,z0196762,28462,27236,22259,43.5,334,290,B12,0.817
136,z0196800_Mnov_MS51_n0028412_R1.fastq.gz,2,H,5,z0196800,28412,23198,19065,34,304,244,H5,0.822
181,z0029864_Mnov_MS51_n0028457_R1.fastq.gz,2,E,11,z0029864,28457,22026,18123,35,311,265,E11,0.823
93,z0195713_Mnov_MS51_n0028369_R1.fastq.gz,1,E,12,z0195713,28369,175029,145068,373.5,365,361,E12,0.829
327,z0196795_Mnov_MS51_n0028603_R1.fastq.gz,8,G,5,z0196795,28603,77919,64802,88,333,302,G5,0.832
121,z0196757_Mnov_MS51_n0028397_R1.fastq.gz,2,A,4,z0196757,28397,79919,66870,178.5,361,356,A4,0.837
254,z0175916_Mnov_MS51_n0028530_R1.fastq.gz,3,F,8,z0175916,28530,12957,10872,16,227,171,F8,0.839
285,z0175937_Mnov_MS51_n0028561_R1.fastq.gz,3,E,12,z0175937,28561,31593,26527,67.5,350,328,E12,0.840
52,z0195727_Mnov_MS51_n0028328_R1.fastq.gz,1,D,7,z0195727,28328,44809,37912,67.5,348,321,D7,0.846
240,z0056399_Mnov_MS51_n0028516_R1.fastq.gz,3,H,6,z0056399,28516,88931,75442,182.5,354,349,H6,0.848
223,z0053849_Mnov_MS51_n0028499_R1.fastq.gz,3,G,4,z0053849,28499,90535,76808,181.5,356,341,G4,0.848
184,z0196728_Mnov_MS51_n0028460_R1.fastq.gz,2,H,11,z0196728,28460,62254,53024,108,357,342,H11,0.852
176,z0016578_Mnov_MS51_n0028452_R1.fastq.gz,2,H,10,z0016578,28452,55356,47425,64.5,307,276,H10,0.857
