,Sample,Plate,Row,Column,LABID,Miseq.num,tot.reads,tot.aligned.reads,median.aligned.reads.per.loc,gt.10.aligned,gt.20.aligned,well,% on target
287,z0196736_Mnov_MS51_n0028563_R1.fastq.gz,3,G,12,z0196736,28563,71689,68317,150,358,343,G12,0.953
329,z0196823_Mnov_MS51_n0028605_R1.fastq.gz,8,A,6,z0196823,28605,109357,104215,260,358,354,A6,0.953
316,z0187842_Mnov_MS51_n0028592_R1.fastq.gz,8,D,4,z0187842,28592,133423,127162,252.5,357,348,D4,0.953
100,z0196714_Mnov_MS51_n0028376_R1.fastq.gz,2,D,1,z0196714,28376,135042,128721,310.5,360,356,D1,0.953
160,z0196862_Mnov_MS51_n0028436_R1.fastq.gz,2,H,8,z0196862,28436,149247,142277,285,359,354,H8,0.953
267,z0196746_Mnov_MS51_n0028543_R1.fastq.gz,3,C,10,z0196746,28543,104606,99722,227,355,348,C10,0.953
42,z0195708_Mnov_MS51_n0028318_R1.fastq.gz,1,B,6,z0195708,28318,186045,177361,340.5,358,353,B6,0.953
324,z0196753_Mnov_MS51_n0028600_R1.fastq.gz,8,D,5,z0196753,28600,71230,67906,152.5,350,342,D5,0.953
56,z0195735_Mnov_MS51_n0028332_R1.fastq.gz,1,H,7,z0195735,28332,239163,228073,511.5,362,359,H7,0.954
99,z0196709_Mnov_MS51_n0028375_R1.fastq.gz,2,C,1,z0196709,28375,85420,81463,173,353,340,C1,0.954
321,z0195700_Mnov_MS51_n0028597_R1.fastq.gz,8,A,5,z0195700,28597,81813,78029,167.5,353,337,A5,0.954
266,z0196736_Mnov_MS51_n0028542_R1.fastq.gz,3,B,10,z0196736,28542,82716,78911,187,357,352,B10,0.954
298,z0051898_Mnov_MS51_n0028574_R1.fastq.gz,8,B,2,z0051898,28574,92339,88098,221.5,357,354,B2,0.954
299,z0051899_Mnov_MS51_n0028575_R1.fastq.gz,8,C,2,z0051899,28575,91756,87571,158,348,332,C2,0.954
197,z0045337_Mnov_MS51_n0028473_R1.fastq.gz,3,E,1,z0045337,28473,81224,77569,170,351,337,E1,0.955
115,z0196747_Mnov_MS51_n0028391_R1.fastq.gz,2,C,3,z0196747,28391,106563,101778,196,357,341,C3,0.955
61,z0195742_Mnov_MS51_n0028337_R1.fastq.gz,1,E,8,z0195742,28337,381132,364088,782,362,359,E8,0.955
105,z0196726_Mnov_MS51_n0028381_R1.fastq.gz,2,A,2,z0196726,28381,92484,88370,202,356,347,A2,0.956
62,z0195743_Mnov_MS51_n0028338_R1.fastq.gz,1,F,8,z0195743,28338,185875,177653,368,358,355,F8,0.956
276,z0197665_Mnov_MS51_n0028552_R1.fastq.gz,3,D,11,z0197665,28552,90445,86476,212.5,354,348,D11,0.956
269,z0196783_Mnov_MS51_n0028545_R1.fastq.gz,3,E,10,z0196783,28545,249444,238557,577.5,360,357,E10,0.956
48,z0195717_Mnov_MS51_n0028324_R1.fastq.gz,1,H,6,z0195717,28324,257653,246434,532,358,358,H6,0.956
142,z0196831_Mnov_MS51_n0028418_R1.fastq.gz,2,F,6,z0196831,28418,94301,90200,188.5,354,345,F6,0.957
152,z0196848_Mnov_MS51_n0028428_R1.fastq.gz,2,H,7,z0196848,28428,131045,125360,264.5,358,353,H7,0.957
103,z0196722_Mnov_MS51_n0028379_R1.fastq.gz,2,G,1,z0196722,28379,96966,92765,213,358,344,G1,0.957
157,z0196859_Mnov_MS51_n0028433_R1.fastq.gz,2,E,8,z0196859,28433,183554,175608,366,360,357,E8,0.957
107,z0196728_Mnov_MS51_n0028383_R1.fastq.gz,2,C,2,z0196728,28383,100655,96314,202,353,345,C2,0.957
194,z0045331_Mnov_MS51_n0028470_R1.fastq.gz,3,B,1,z0045331,28470,55308,52925,113.5,343,323,B1,0.957
336,z0197658_Mnov_MS51_n0028612_R1.fastq.gz,8,H,6,z0197658,28612,92870,88885,199,347,338,H6,0.957
106,z0196727_Mnov_MS51_n0028382_R1.fastq.gz,2,B,2,z0196727,28382,89784,85955,186,354,344,B2,0.957
158,z0196860_Mnov_MS51_n0028434_R1.fastq.gz,2,F,8,z0196860,28434,135469,129706,264,359,351,F8,0.957
55,z0195733_Mnov_MS51_n0028331_R1.fastq.gz,1,G,7,z0195733,28331,196319,188078,423.5,361,359,G7,0.958
63,z0195748_Mnov_MS51_n0028339_R1.fastq.gz,1,G,8,z0195748,28339,221627,212330,483,360,358,G8,0.958
43,z0195709_Mnov_MS51_n0028319_R1.fastq.gz,1,C,6,z0195709,28319,220583,211367,446.5,362,358,C6,0.958
155,z0196854_Mnov_MS51_n0028431_R1.fastq.gz,2,C,8,z0196854,28431,156633,150102,316.5,355,353,C8,0.958
162,z0196865_Mnov_MS51_n0028438_R1.fastq.gz,2,B,9,z0196865,28438,111812,107227,218.5,359,350,B9,0.959
173,z0197673_Mnov_MS51_n0028449_R1.fastq.gz,2,E,10,z0197673,28449,105674,101374,192,343,328,E10,0.959
109,z0196737_Mnov_MS51_n0028385_R1.fastq.gz,2,E,2,z0196737,28385,102653,98536,157.5,345,332,E2,0.960
38,z0195697_Mnov_MS51_n0028314_R1.fastq.gz,1,F,5,z0195697,28314,75224,72215,89,335,295,F5,0.960
243,z0061980_Mnov_MS51_n0028519_R1.fastq.gz,3,C,7,z0061980,28519,298299,286383,646,359,358,C7,0.960
40,z0195706_Mnov_MS51_n0028316_R1.fastq.gz,1,H,5,z0195706,28316,252790,242852,565,360,357,H5,0.961
248,z0107101_Mnov_MS51_n0028524_R1.fastq.gz,3,H,7,z0107101,28524,35379,33989,77.5,350,323,H7,0.961
231,z0056386_Mnov_MS51_n0028507_R1.fastq.gz,3,G,5,z0056386,28507,64607,62083,123,336,326,G5,0.961
322,z0195715_Mnov_MS51_n0028598_R1.fastq.gz,8,B,5,z0195715,28598,100793,96923,199.5,356,344,B5,0.962
128,z0196770_Mnov_MS51_n0028404_R1.fastq.gz,2,H,4,z0196770,28404,56055,53980,93.5,339,316,H4,0.963
207,z0051891_Mnov_MS51_n0028483_R1.fastq.gz,3,G,2,z0051891,28483,57811,55683,141,354,346,G2,0.963
210,z0051947_Mnov_MS51_n0028486_R1.fastq.gz,3,B,3,z0051947,28486,62803,60503,150.5,359,349,B3,0.963
111,z0196741_Mnov_MS51_n0028387_R1.fastq.gz,2,G,2,z0196741,28387,50948,49095,69.5,320,284,G2,0.964
119,z0196755_Mnov_MS51_n0028395_R1.fastq.gz,2,G,3,z0196755,28395,79347,76490,147.5,349,332,G3,0.964
159,z0196861_Mnov_MS51_n0028435_R1.fastq.gz,2,G,8,z0196861,28435,168449,162408,332.5,356,353,G8,0.964
334,z0108508_Mnov_MS51_n0028610_R1.fastq.gz,8,F,6,z0108508,28610,65254,62916,132.5,343,331,F6,0.964
227,z0056378_Mnov_MS51_n0028503_R1.fastq.gz,3,C,5,z0056378,28503,239478,231017,469,356,355,C5,0.965
292,z0045357_Mnov_MS51_n0028568_R1.fastq.gz,8,D,1,z0045357,28568,344942,332774,848.5,360,357,D1,0.965
303,z0107055_Mnov_MS51_n0028579_R1.fastq.gz,8,G,2,z0107055,28579,418918,404512,851.5,360,359,G2,0.966
328,z0196822_Mnov_MS51_n0028604_R1.fastq.gz,8,H,5,z0196822,28604,105972,102343,250.5,359,350,H5,0.966
306,z0107080_Mnov_MS51_n0028582_R1.fastq.gz,8,B,3,z0107080,28582,73899,71394,162,353,341,B3,0.966
218,z0053843_Mnov_MS51_n0028494_R1.fastq.gz,3,B,4,z0053843,28494,67249,65057,137.5,350,336,B4,0.967
108,z0196732_Mnov_MS51_n0028384_R1.fastq.gz,2,D,2,z0196732,28384,133934,129766,219,353,340,D2,0.969
275,z0197662_Mnov_MS51_n0028551_R1.fastq.gz,3,C,11,z0197662,28551,89420,86831,138,332,310,C11,0.971
222,z0053847_Mnov_MS51_n0028498_R1.fastq.gz,3,F,4,z0053847,28498,224370,218011,413,358,352,F4,0.972
270,z0196794_Mnov_MS51_n0028546_R1.fastq.gz,3,F,10,z0196794,28546,67991,66076,158.5,351,339,F10,0.972
235,z0056393_Mnov_MS51_n0028511_R1.fastq.gz,3,C,6,z0056393,28511,73876,71836,134.5,348,328,C6,0.972
39,z0195703_Mnov_MS51_n0028315_R1.fastq.gz,1,G,5,z0195703,28315,203004,197655,373.5,356,348,G5,0.974
260,z0187860_Mnov_MS51_n0028536_R1.fastq.gz,3,D,9,z0187860,28536,199626,194556,430,360,352,D9,0.975
202,z0051185_Mnov_MS51_n0028478_R1.fastq.gz,3,B,2,z0051185,28478,69267,67550,154.5,354,337,B2,0.975
