"","labID","genos","missing"
"1","z0040513",192,192
"2","z0043839",281,103
"3","z0043980",248,136
"4","z0045331",292,92
"5","z0045401",278,106
"6","z0045405",322,62
"7","z0047854",325,59
"8","z0053100",299,85
"9","z0055903",312,72
"10","z0055931",286,98
"11","z0056392",286,98
"12","z0075696",221,163
"13","z0175371",308,76
"14","z0187857",257,127
"15","z0195776",84,300
"16","z0195777",163,221
"17","z0196887",210,174
"18","z0197665",302,82
"19","z0197682",279,105
