"","new.fname","mean","median","gt.10","gt.20"
"1","175371b_S34_L001_001",243.451086956522,152.5,339,325
"2","187857b_S35_L001_001",39.4538043478261,28,279,220
"3","195776b_S36_L001_001",7.6820652173913,3,87,38
"4","195777b_S37_L001_001",18.9592391304348,8,171,94
"5","196887b_S38_L001_001",28.2554347826087,16.5,223,166
"6","197665b_S39_L001_001",81.1983695652174,70,332,312
"7","197682b_S40_L001_001",39.6358695652174,31,309,245
"8","40513b_S21_L001_001",16.2635869565217,11,206,107
"9","43475b_S22_L001_001",0.190217391304348,0,0,0
"10","43839b_S23_L001_001",52.6222826086956,43,309,274
"11","43980b_S24_L001_001",38.8423913043478,25,266,224
"12","45331b_S25_L001_001",78.9184782608696,64,321,302
"13","45401b_S26_L001_001",42.3532608695652,33,300,251
"14","45405b_S27_L001_001",249.274456521739,216.5,353,342
"15","47854b_S28_L001_001",409.836956521739,301,355,348
"16","53100b_S29_L001_001",62.4239130434783,53.5,328,297
"17","55903b_S30_L001_001",84.5326086956522,77,341,322
"18","55931b_S31_L001_001",43.7228260869565,37,314,274
"19","56392b_S32_L001_001",38.8804347826087,37,316,261
"20","75696b_S33_L001_001",37.570652173913,18,240,178
