"","Sample","tot.reads","Plate","Row","Column","LABID","Miseq.num"
"63","z0053849_Mnov_MS51_n0028499_R1.fastq.gz",90535,3,"G",4,"z0053849",28499
"64","z0056374_Mnov_MS51_n0028500_R1.fastq.gz",11604,3,"H",4,"z0056374",28500
"65","z0056375_Mnov_MS51_n0028501_R1.fastq.gz",82042,3,"A",5,"z0056375",28501
"66","z0056377_Mnov_MS51_n0028502_R1.fastq.gz",76869,3,"B",5,"z0056377",28502
"67","z0056378_Mnov_MS51_n0028503_R1.fastq.gz",239478,3,"C",5,"z0056378",28503
"68","z0056378_Mnov_MS51_n0028559_R1.fastq.gz",80184,3,"C",12,"z0056378",28559
"69","z0056380_Mnov_MS51_n0028504_R1.fastq.gz",2340,3,"D",5,"z0056380",28504
"70","z0056382_Mnov_MS51_n0028505_R1.fastq.gz",87568,3,"E",5,"z0056382",28505
"71","z0056384_Mnov_MS51_n0028506_R1.fastq.gz",51672,3,"F",5,"z0056384",28506
"72","z0056386_Mnov_MS51_n0028507_R1.fastq.gz",64607,3,"G",5,"z0056386",28507
"73","z0056389_Mnov_MS51_n0028508_R1.fastq.gz",30926,3,"H",5,"z0056389",28508
"74","z0056391_Mnov_MS51_n0028509_R1.fastq.gz",64951,3,"A",6,"z0056391",28509
"75","z0056392_Mnov_MS51_n0028510_R1.fastq.gz",35006,3,"B",6,"z0056392",28510
"76","z0056393_Mnov_MS51_n0028511_R1.fastq.gz",73876,3,"C",6,"z0056393",28511
"77","z0056394_Mnov_MS51_n0028512_R1.fastq.gz",208101,3,"D",6,"z0056394",28512
"78","z0056395_Mnov_MS51_n0028513_R1.fastq.gz",21506,3,"E",6,"z0056395",28513
"79","z0056396_Mnov_MS51_n0028514_R1.fastq.gz",1075,3,"F",6,"z0056396",28514
"80","z0056397_Mnov_MS51_n0028515_R1.fastq.gz",274070,3,"G",6,"z0056397",28515
"81","z0056399_Mnov_MS51_n0028516_R1.fastq.gz",88931,3,"H",6,"z0056399",28516
"82","z0061973_Mnov_MS51_n0028517_R1.fastq.gz",1010,3,"A",7,"z0061973",28517
"83","z0061976_Mnov_MS51_n0028518_R1.fastq.gz",2147,3,"B",7,"z0061976",28518
"84","z0061980_Mnov_MS51_n0028519_R1.fastq.gz",298299,3,"C",7,"z0061980",28519
"85","z0066792_Mnov_MS51_n0028520_R1.fastq.gz",744,3,"D",7,"z0066792",28520
"86","z0066792_Mnov_MS51_n0028560_R1.fastq.gz",68845,3,"D",12,"z0066792",28560
"87","z0066805_Mnov_MS51_n0028521_R1.fastq.gz",300,3,"E",7,"z0066805",28521
"88","z0101084_Mnov_MS51_n0028522_R1.fastq.gz",178,3,"F",7,"z0101084",28522
"89","z0101085_Mnov_MS51_n0028523_R1.fastq.gz",200,3,"G",7,"z0101085",28523
"90","z0107055_Mnov_MS51_n0028579_R1.fastq.gz",418918,8,"G",2,"z0107055",28579
"91","z0107073_Mnov_MS51_n0028580_R1.fastq.gz",664524,8,"H",2,"z0107073",28580
"92","z0107078_Mnov_MS51_n0028581_R1.fastq.gz",5829,8,"A",3,"z0107078",28581
"93","z0107080_Mnov_MS51_n0028582_R1.fastq.gz",73899,8,"B",3,"z0107080",28582
"94","z0107101_Mnov_MS51_n0028524_R1.fastq.gz",35379,3,"H",7,"z0107101",28524
"95","z0108480_Mnov_MS51_n0028583_R1.fastq.gz",103905,8,"C",3,"z0108480",28583
"96","z0108489_Mnov_MS51_n0028525_R1.fastq.gz",39908,3,"A",8,"z0108489",28525
"97","z0108508_Mnov_MS51_n0028584_R1.fastq.gz",496744,8,"D",3,"z0108508",28584
"98","z0108508_Mnov_MS51_n0028610_R1.fastq.gz",65254,8,"F",6,"z0108508",28610
"99","z0108510_Mnov_MS51_n0028585_R1.fastq.gz",272,8,"E",3,"z0108510",28585
"100","z0108513_Mnov_MS51_n0028526_R1.fastq.gz",4572,3,"B",8,"z0108513",28526
"101","z0133302_Mnov_MS51_n0028527_R1.fastq.gz",35619,3,"C",8,"z0133302",28527
"102","z0173485_Mnov_MS51_n0028528_R1.fastq.gz",54456,3,"D",8,"z0173485",28528
"103","z0175377_Mnov_MS51_n0028586_R1.fastq.gz",87645,8,"F",3,"z0175377",28586
"104","z0175912_Mnov_MS51_n0028529_R1.fastq.gz",2253,3,"E",8,"z0175912",28529
"105","z0175915_Mnov_MS51_n0028587_R1.fastq.gz",10255,8,"G",3,"z0175915",28587
"106","z0175916_Mnov_MS51_n0028530_R1.fastq.gz",12957,3,"F",8,"z0175916",28530
"107","z0175927_Mnov_MS51_n0028588_R1.fastq.gz",53415,8,"H",3,"z0175927",28588
"108","z0175928_Mnov_MS51_n0028589_R1.fastq.gz",167701,8,"A",4,"z0175928",28589
"109","z0175937_Mnov_MS51_n0028531_R1.fastq.gz",40916,3,"G",8,"z0175937",28531
"110","z0175937_Mnov_MS51_n0028561_R1.fastq.gz",31593,3,"E",12,"z0175937",28561
"111","z0178294_Mnov_MS51_n0028532_R1.fastq.gz",3157,3,"H",8,"z0178294",28532
"112","z0178296_Mnov_MS51_n0028590_R1.fastq.gz",3095,8,"B",4,"z0178296",28590
"113","z0178305_Mnov_MS51_n0028533_R1.fastq.gz",81,3,"A",9,"z0178305",28533
"114","z0178348_Mnov_MS51_n0028534_R1.fastq.gz",33010,3,"B",9,"z0178348",28534
"115","z0187811_Mnov_MS51_n0028591_R1.fastq.gz",2703,8,"C",4,"z0187811",28591
"116","z0187842_Mnov_MS51_n0028592_R1.fastq.gz",133423,8,"D",4,"z0187842",28592
"117","z0187846_Mnov_MS51_n0028593_R1.fastq.gz",470,8,"E",4,"z0187846",28593
"118","z0187857_Mnov_MS51_n0028535_R1.fastq.gz",323,3,"C",9,"z0187857",28535
"119","z0187859_Mnov_MS51_n0028594_R1.fastq.gz",13602,8,"F",4,"z0187859",28594
"120","z0187860_Mnov_MS51_n0028536_R1.fastq.gz",199626,3,"D",9,"z0187860",28536
"121","z0187860_Mnov_MS51_n0028562_R1.fastq.gz",64361,3,"F",12,"z0187860",28562
"122","z0187868_Mnov_MS51_n0028595_R1.fastq.gz",34858,8,"G",4,"z0187868",28595
"123","z0187868_Mnov_MS51_n0028611_R1.fastq.gz",4826,8,"G",6,"z0187868",28611
"124","z0187906_Mnov_MS51_n0028537_R1.fastq.gz",42573,3,"E",9,"z0187906",28537
"125","z0187911_Mnov_MS51_n0028538_R1.fastq.gz",2300,3,"F",9,"z0187911",28538
"126","z0195258_Mnov_MS51_n0028277_R1.fastq.gz",6373,1,"A",1,"z0195258",28277
"127","z0195643_Mnov_MS51_n0028278_R1.fastq.gz",2212,1,"B",1,"z0195643",28278
"128","z0195644_Mnov_MS51_n0028279_R1.fastq.gz",14230,1,"C",1,"z0195644",28279
"129","z0195645_Mnov_MS51_n0028280_R1.fastq.gz",1026,1,"D",1,"z0195645",28280
"130","z0195645_Mnov_MS51_n0028364_R1.fastq.gz",211,1,"H",11,"z0195645",28364
"131","z0195646_Mnov_MS51_n0028281_R1.fastq.gz",311,1,"E",1,"z0195646",28281
"132","z0195647_Mnov_MS51_n0028282_R1.fastq.gz",2543,1,"F",1,"z0195647",28282
"133","z0195648_Mnov_MS51_n0028283_R1.fastq.gz",1992,1,"G",1,"z0195648",28283
"134","z0195650_Mnov_MS51_n0028284_R1.fastq.gz",7913,1,"H",1,"z0195650",28284
"135","z0195651_Mnov_MS51_n0028285_R1.fastq.gz",6705,1,"A",2,"z0195651",28285
"136","z0195653_Mnov_MS51_n0028286_R1.fastq.gz",1039,1,"B",2,"z0195653",28286
"137","z0195653_Mnov_MS51_n0028365_R1.fastq.gz",4900,1,"A",12,"z0195653",28365
"138","z0195656_Mnov_MS51_n0028287_R1.fastq.gz",770,1,"C",2,"z0195656",28287
"139","z0195657_Mnov_MS51_n0028288_R1.fastq.gz",5431,1,"D",2,"z0195657",28288
"140","z0195659_Mnov_MS51_n0028289_R1.fastq.gz",5910,1,"E",2,"z0195659",28289
"141","z0195662_Mnov_MS51_n0028290_R1.fastq.gz",236,1,"F",2,"z0195662",28290
"142","z0195662_Mnov_MS51_n0028366_R1.fastq.gz",228,1,"B",12,"z0195662",28366
"143","z0195664_Mnov_MS51_n0028291_R1.fastq.gz",1483,1,"G",2,"z0195664",28291
"144","z0195665_Mnov_MS51_n0028292_R1.fastq.gz",1721,1,"H",2,"z0195665",28292
"145","z0195667_Mnov_MS51_n0028293_R1.fastq.gz",7612,1,"A",3,"z0195667",28293
"146","z0195668_Mnov_MS51_n0028294_R1.fastq.gz",5341,1,"B",3,"z0195668",28294
"147","z0195669_Mnov_MS51_n0028295_R1.fastq.gz",706,1,"C",3,"z0195669",28295
"148","z0195670_Mnov_MS51_n0028296_R1.fastq.gz",1445,1,"D",3,"z0195670",28296
"149","z0195671_Mnov_MS51_n0028297_R1.fastq.gz",942,1,"E",3,"z0195671",28297
"150","z0195672_Mnov_MS51_n0028298_R1.fastq.gz",633,1,"F",3,"z0195672",28298
"151","z0195673_Mnov_MS51_n0028299_R1.fastq.gz",5352,1,"G",3,"z0195673",28299
"152","z0195674_Mnov_MS51_n0028300_R1.fastq.gz",761,1,"H",3,"z0195674",28300
"153","z0195674_Mnov_MS51_n0028367_R1.fastq.gz",209,1,"C",12,"z0195674",28367
"154","z0195675_Mnov_MS51_n0028301_R1.fastq.gz",3835,1,"A",4,"z0195675",28301
"155","z0195677_Mnov_MS51_n0028302_R1.fastq.gz",13384,1,"B",4,"z0195677",28302
"156","z0195678_Mnov_MS51_n0028303_R1.fastq.gz",2206,1,"C",4,"z0195678",28303
"157","z0195679_Mnov_MS51_n0028304_R1.fastq.gz",836,1,"D",4,"z0195679",28304
"158","z0195680_Mnov_MS51_n0028305_R1.fastq.gz",807,1,"E",4,"z0195680",28305
"159","z0195681_Mnov_MS51_n0028306_R1.fastq.gz",594,1,"F",4,"z0195681",28306
"160","z0195682_Mnov_MS51_n0028307_R1.fastq.gz",2697,1,"G",4,"z0195682",28307
"161","z0195684_Mnov_MS51_n0028308_R1.fastq.gz",1321,1,"H",4,"z0195684",28308
"162","z0195685_Mnov_MS51_n0028309_R1.fastq.gz",1075,1,"A",5,"z0195685",28309
"163","z0195686_Mnov_MS51_n0028310_R1.fastq.gz",277,1,"B",5,"z0195686",28310
"164","z0195686_Mnov_MS51_n0028368_R1.fastq.gz",134,1,"D",12,"z0195686",28368
"165","z0195689_Mnov_MS51_n0028311_R1.fastq.gz",6539,1,"C",5,"z0195689",28311
"166","z0195690_Mnov_MS51_n0028596_R1.fastq.gz",581,8,"H",4,"z0195690",28596
"167","z0195693_Mnov_MS51_n0028312_R1.fastq.gz",723,1,"D",5,"z0195693",28312
"168","z0195695_Mnov_MS51_n0028313_R1.fastq.gz",513,1,"E",5,"z0195695",28313
"169","z0195697_Mnov_MS51_n0028314_R1.fastq.gz",75224,1,"F",5,"z0195697",28314
"170","z0195700_Mnov_MS51_n0028597_R1.fastq.gz",81813,8,"A",5,"z0195700",28597
"171","z0195703_Mnov_MS51_n0028315_R1.fastq.gz",203004,1,"G",5,"z0195703",28315
"172","z0195706_Mnov_MS51_n0028316_R1.fastq.gz",252790,1,"H",5,"z0195706",28316
"173","z0195707_Mnov_MS51_n0028317_R1.fastq.gz",108386,1,"A",6,"z0195707",28317
"174","z0195708_Mnov_MS51_n0028318_R1.fastq.gz",186045,1,"B",6,"z0195708",28318
"175","z0195709_Mnov_MS51_n0028319_R1.fastq.gz",220583,1,"C",6,"z0195709",28319
"176","z0195710_Mnov_MS51_n0028320_R1.fastq.gz",232585,1,"D",6,"z0195710",28320
"177","z0195712_Mnov_MS51_n0028321_R1.fastq.gz",209484,1,"E",6,"z0195712",28321
"178","z0195713_Mnov_MS51_n0028322_R1.fastq.gz",256384,1,"F",6,"z0195713",28322
"179","z0195713_Mnov_MS51_n0028369_R1.fastq.gz",175029,1,"E",12,"z0195713",28369
"180","z0195714_Mnov_MS51_n0028323_R1.fastq.gz",349308,1,"G",6,"z0195714",28323
"181","z0195715_Mnov_MS51_n0028598_R1.fastq.gz",100793,8,"B",5,"z0195715",28598
"182","z0195717_Mnov_MS51_n0028324_R1.fastq.gz",257653,1,"H",6,"z0195717",28324
"183","z0195720_Mnov_MS51_n0028325_R1.fastq.gz",23652,1,"A",7,"z0195720",28325
"184","z0195721_Mnov_MS51_n0028326_R1.fastq.gz",2612,1,"B",7,"z0195721",28326
"185","z0195722_Mnov_MS51_n0028327_R1.fastq.gz",128970,1,"C",7,"z0195722",28327
"186","z0195726_Mnov_MS51_n0028539_R1.fastq.gz",29393,3,"G",9,"z0195726",28539
"187","z0195727_Mnov_MS51_n0028328_R1.fastq.gz",44809,1,"D",7,"z0195727",28328
"188","z0195729_Mnov_MS51_n0028329_R1.fastq.gz",78353,1,"E",7,"z0195729",28329
