"","Sample","tot.reads","Plate","Row","Column","LABID","Miseq.num"
"274","z0196778_Mnov_MS51_n0028409_R1.fastq.gz",118907,2,"E",5,"z0196778",28409
"275","z0196781_Mnov_MS51_n0028410_R1.fastq.gz",125962,2,"F",5,"z0196781",28410
"276","z0196783_Mnov_MS51_n0028545_R1.fastq.gz",249444,3,"E",10,"z0196783",28545
"277","z0196792_Mnov_MS51_n0028602_R1.fastq.gz",2615,8,"F",5,"z0196792",28602
"278","z0196793_Mnov_MS51_n0028411_R1.fastq.gz",30446,2,"G",5,"z0196793",28411
"279","z0196794_Mnov_MS51_n0028546_R1.fastq.gz",67991,3,"F",10,"z0196794",28546
"280","z0196795_Mnov_MS51_n0028603_R1.fastq.gz",77919,8,"G",5,"z0196795",28603
"281","z0196800_Mnov_MS51_n0028412_R1.fastq.gz",23198,2,"H",5,"z0196800",28412
"282","z0196804_Mnov_MS51_n0028547_R1.fastq.gz",53494,3,"G",10,"z0196804",28547
"283","z0196805_Mnov_MS51_n0028413_R1.fastq.gz",249,2,"A",6,"z0196805",28413
"284","z0196806_Mnov_MS51_n0028414_R1.fastq.gz",12083,2,"B",6,"z0196806",28414
"285","z0196810_Mnov_MS51_n0028548_R1.fastq.gz",2018,3,"H",10,"z0196810",28548
"286","z0196811_Mnov_MS51_n0028549_R1.fastq.gz",7227,3,"A",11,"z0196811",28549
"287","z0196812_Mnov_MS51_n0028415_R1.fastq.gz",10332,2,"C",6,"z0196812",28415
"288","z0196822_Mnov_MS51_n0028604_R1.fastq.gz",105972,8,"H",5,"z0196822",28604
"289","z0196823_Mnov_MS51_n0028605_R1.fastq.gz",109357,8,"A",6,"z0196823",28605
"290","z0196826_Mnov_MS51_n0028416_R1.fastq.gz",90812,2,"D",6,"z0196826",28416
"291","z0196830_Mnov_MS51_n0028417_R1.fastq.gz",21780,2,"E",6,"z0196830",28417
"292","z0196831_Mnov_MS51_n0028418_R1.fastq.gz",94301,2,"F",6,"z0196831",28418
"293","z0196832_Mnov_MS51_n0028419_R1.fastq.gz",28035,2,"G",6,"z0196832",28419
"294","z0196833_Mnov_MS51_n0028420_R1.fastq.gz",109211,2,"H",6,"z0196833",28420
"295","z0196833_Mnov_MS51_n0028463_R1.fastq.gz",30345,2,"C",12,"z0196833",28463
"296","z0196838_Mnov_MS51_n0028550_R1.fastq.gz",4558,3,"B",11,"z0196838",28550
"297","z0196839_Mnov_MS51_n0028421_R1.fastq.gz",125,2,"A",7,"z0196839",28421
"298","z0196839_Mnov_MS51_n0028464_R1.fastq.gz",728,2,"D",12,"z0196839",28464
"299","z0196840_Mnov_MS51_n0028422_R1.fastq.gz",1093,2,"B",7,"z0196840",28422
"300","z0196842_Mnov_MS51_n0028423_R1.fastq.gz",11267,2,"C",7,"z0196842",28423
"301","z0196844_Mnov_MS51_n0028424_R1.fastq.gz",2775,2,"D",7,"z0196844",28424
"302","z0196845_Mnov_MS51_n0028425_R1.fastq.gz",6772,2,"E",7,"z0196845",28425
"303","z0196846_Mnov_MS51_n0028426_R1.fastq.gz",830,2,"F",7,"z0196846",28426
"304","z0196847_Mnov_MS51_n0028427_R1.fastq.gz",4960,2,"G",7,"z0196847",28427
"305","z0196848_Mnov_MS51_n0028428_R1.fastq.gz",131045,2,"H",7,"z0196848",28428
"306","z0196850_Mnov_MS51_n0028429_R1.fastq.gz",946,2,"A",8,"z0196850",28429
"307","z0196851_Mnov_MS51_n0028430_R1.fastq.gz",2252,2,"B",8,"z0196851",28430
"308","z0196854_Mnov_MS51_n0028431_R1.fastq.gz",156633,2,"C",8,"z0196854",28431
"309","z0196854_Mnov_MS51_n0028465_R1.fastq.gz",196495,2,"E",12,"z0196854",28465
"310","z0196858_Mnov_MS51_n0028432_R1.fastq.gz",16423,2,"D",8,"z0196858",28432
"311","z0196859_Mnov_MS51_n0028433_R1.fastq.gz",183554,2,"E",8,"z0196859",28433
"312","z0196860_Mnov_MS51_n0028434_R1.fastq.gz",135469,2,"F",8,"z0196860",28434
"313","z0196861_Mnov_MS51_n0028435_R1.fastq.gz",168449,2,"G",8,"z0196861",28435
"314","z0196862_Mnov_MS51_n0028436_R1.fastq.gz",149247,2,"H",8,"z0196862",28436
"315","z0196863_Mnov_MS51_n0028437_R1.fastq.gz",73316,2,"A",9,"z0196863",28437
"316","z0196865_Mnov_MS51_n0028438_R1.fastq.gz",111812,2,"B",9,"z0196865",28438
"317","z0196886_Mnov_MS51_n0028439_R1.fastq.gz",27219,2,"C",9,"z0196886",28439
"318","z0196887_Mnov_MS51_n0028440_R1.fastq.gz",7901,2,"D",9,"z0196887",28440
"319","z0196888_Mnov_MS51_n0028441_R1.fastq.gz",5240,2,"E",9,"z0196888",28441
"320","z0196889_Mnov_MS51_n0028442_R1.fastq.gz",933,2,"F",9,"z0196889",28442
"321","z0196889_Mnov_MS51_n0028466_R1.fastq.gz",854,2,"F",12,"z0196889",28466
"322","z0196891_Mnov_MS51_n0028443_R1.fastq.gz",7684,2,"G",9,"z0196891",28443
"323","z0196892_Mnov_MS51_n0028444_R1.fastq.gz",8992,2,"H",9,"z0196892",28444
"324","z0196895_Mnov_MS51_n0028445_R1.fastq.gz",489,2,"A",10,"z0196895",28445
"325","z0197658_Mnov_MS51_n0028606_R1.fastq.gz",7560,8,"B",6,"z0197658",28606
"326","z0197658_Mnov_MS51_n0028612_R1.fastq.gz",92870,8,"H",6,"z0197658",28612
"327","z0197659_Mnov_MS51_n0028446_R1.fastq.gz",53611,2,"B",10,"z0197659",28446
"328","z0197660_Mnov_MS51_n0028447_R1.fastq.gz",13840,2,"C",10,"z0197660",28447
"329","z0197662_Mnov_MS51_n0028551_R1.fastq.gz",89420,3,"C",11,"z0197662",28551
"330","z0197664_Mnov_MS51_n0028607_R1.fastq.gz",2306,8,"C",6,"z0197664",28607
"331","z0197665_Mnov_MS51_n0028552_R1.fastq.gz",90445,3,"D",11,"z0197665",28552
"332","z0197671_Mnov_MS51_n0028448_R1.fastq.gz",68789,2,"D",10,"z0197671",28448
"333","z0197671_Mnov_MS51_n0028467_R1.fastq.gz",9495,2,"G",12,"z0197671",28467
"334","z0197673_Mnov_MS51_n0028449_R1.fastq.gz",105674,2,"E",10,"z0197673",28449
"335","z0197679_Mnov_MS51_n0028450_R1.fastq.gz",121803,2,"F",10,"z0197679",28450
"336","z0197682_Mnov_MS51_n0028608_R1.fastq.gz",392,8,"D",6,"z0197682",28608
