Fastq file,Plate,Row,Column,LABID,Miseq.num,Total reads in fastq,Reads that aligned,mean aligned reads per locus,median aligned reads per locus,# loci with >= 10 reads,# loci with >= 20 reads
z0053760_Mnov_MS51_n0028492_R1.fastq.gz,3,H,3,z0053760,28492,9834,7638,20.75543478,7,152,85
z0053842_Mnov_MS51_n0028493_R1.fastq.gz,3,A,4,z0053842,28493,6240,3967,10.7798913,2,72,36
z0053843_Mnov_MS51_n0028494_R1.fastq.gz,3,B,4,z0053843,28494,67249,65057,176.7853261,137.5,350,336
z0053844_Mnov_MS51_n0028495_R1.fastq.gz,3,C,4,z0053844,28495,30638,22190,60.29891304,57,334,303
z0053845_Mnov_MS51_n0028496_R1.fastq.gz,3,D,4,z0053845,28496,26240,2173,5.904891304,5,68,4
z0053846_Mnov_MS51_n0028497_R1.fastq.gz,3,E,4,z0053846,28497,1651,723,1.964673913,1,1,1
z0053847_Mnov_MS51_n0028498_R1.fastq.gz,3,F,4,z0053847,28498,224370,218011,592.4211957,413,358,352
z0053849_Mnov_MS51_n0028499_R1.fastq.gz,3,G,4,z0053849,28499,90535,76808,208.7173913,181.5,356,341
z0056374_Mnov_MS51_n0028500_R1.fastq.gz,3,H,4,z0056374,28500,11604,7871,21.38858696,15,233,146
z0056375_Mnov_MS51_n0028501_R1.fastq.gz,3,A,5,z0056375,28501,82042,77312,210.0869565,177,357,349
z0056377_Mnov_MS51_n0028502_R1.fastq.gz,3,B,5,z0056377,28502,76869,70255,190.9103261,172.5,359,353
