"","locus","num.haps","genos"
"1","Mnov_gtseq_1",2,18
"2","Mnov_gtseq_10",2,16
"3","Mnov_gtseq_102",2,15
"4","Mnov_gtseq_104",2,18
"5","Mnov_gtseq_106",2,6
"6","Mnov_gtseq_107",1,3
"7","Mnov_gtseq_111",2,1
"8","Mnov_gtseq_112",2,14
"9","Mnov_gtseq_113",2,12
"10","Mnov_gtseq_114",2,7
"11","Mnov_gtseq_117",1,2
"12","Mnov_gtseq_118",2,4
"13","Mnov_gtseq_12",2,15
"14","Mnov_gtseq_124",2,2
"15","Mnov_gtseq_125",2,10
"16","Mnov_gtseq_126",2,17
"17","Mnov_gtseq_127",2,9
"18","Mnov_gtseq_128",2,2
"19","Mnov_gtseq_129",2,6
"20","Mnov_gtseq_13",2,18
"21","Mnov_gtseq_130",1,1
"22","Mnov_gtseq_138",2,16
"23","Mnov_gtseq_140",2,19
"24","Mnov_gtseq_141",2,16
"25","Mnov_gtseq_143",2,9
"26","Mnov_gtseq_145",2,16
"27","Mnov_gtseq_147",1,1
"28","Mnov_gtseq_148",2,3
"29","Mnov_gtseq_149",2,14
"30","Mnov_gtseq_15",2,16
"31","Mnov_gtseq_152",2,11
"32","Mnov_gtseq_154",2,8
"33","Mnov_gtseq_155",2,13
"34","Mnov_gtseq_157",2,17
"35","Mnov_gtseq_158",2,15
"36","Mnov_gtseq_16",2,16
"37","Mnov_gtseq_160",2,19
"38","Mnov_gtseq_161",2,12
"39","Mnov_gtseq_162",2,15
"40","Mnov_gtseq_167",2,10
"41","Mnov_gtseq_17",2,15
"42","Mnov_gtseq_170",2,15
"43","Mnov_gtseq_171",1,1
"44","Mnov_gtseq_173",2,5
"45","Mnov_gtseq_174",2,6
"46","Mnov_gtseq_180",1,1
"47","Mnov_gtseq_182",2,12
"48","Mnov_gtseq_186",2,11
"49","Mnov_gtseq_187",2,15
"50","Mnov_gtseq_188",2,2
"51","Mnov_gtseq_189",2,13
"52","Mnov_gtseq_19",2,19
"53","Mnov_gtseq_190",2,17
"54","Mnov_gtseq_191",2,2
"55","Mnov_gtseq_192",2,3
"56","Mnov_gtseq_193",2,18
"57","Mnov_gtseq_195",2,19
"58","Mnov_gtseq_196",2,11
"59","Mnov_gtseq_197",3,18
"60","Mnov_gtseq_2",2,17
"61","Mnov_gtseq_200",2,15
"62","Mnov_gtseq_201",2,19
"63","Mnov_gtseq_202",2,19
"64","Mnov_gtseq_204",2,15
"65","Mnov_gtseq_205",3,19
"66","Mnov_gtseq_208",2,17
"67","Mnov_gtseq_209",2,18
"68","Mnov_gtseq_21",2,19
"69","Mnov_gtseq_210",2,15
"70","Mnov_gtseq_213",2,12
"71","Mnov_gtseq_214",2,9
"72","Mnov_gtseq_215",2,18
