,labID,genos,missing
353,z0195693,1,367
354,z0195694,1,367
399,z0195750,1,367
400,z0195754,1,367
401,z0195755,1,367
402,z0195756,1,367
403,z0195757,1,367
406,z0195764,1,367
407,z0195767,1,367
408,z0195769,1,367
409,z0195770,1,367
413,z0195775,1,367
416,z0195778,1,367
417,z0195779,1,367
423,z0195786,1,367
506,z0196810,1,367
523,z0196839,1,367
524,z0196840,1,367
533,z0196850,1,367
551,z0196889,1,367
552,z0196890,1,367
