,labID,genos,missing
238,z0053138,224,144
492,z0195773,224,144
9,z0016577,223,145
150,z0045398,223,145
182,z0051326,223,145
380,z0187857,223,145
354,z0108513,222,146
500,z0195782,222,146
412,z0195673,220,148
633,z0196887,219,149
116,z0043877,217,151
120,z0043915,217,151
65,z0041250,216,152
247,z0053842,216,152
136,z0044432,215,153
126,z0043994,214,154
194,z0051840,213,155
646,z0197664,213,155
257,z0055910,212,156
389,z0195643,212,156
400,z0195657,211,157
401,z0195659,211,157
479,z0195755,211,157
597,z0196828,211,157
637,z0196891,211,157
618,z0196851,210,158
129,z0044023,207,161
23,z0029863,206,162
81,z0042288,204,164
605,z0196838,203,165
369,z0175927,201,167
502,z0195784,201,167
205,z0051918,199,169
231,z0053101,198,170
105,z0043650,195,173
201,z0051895,188,180
2,z0005758,186,182
47,z0040413,186,182
495,z0195777,186,182
324,z0061969,181,187
108,z0043674,179,189
290,z0056073,174,194
314,z0056389,174,194
21,z0029860,172,196
130,z0044033,172,196
439,z0195705,171,197
359,z0145401,170,198
606,z0196839,169,199
393,z0195647,167,201
381,z0187859,166,202
99,z0043566,163,205
305,z0056337,163,205
251,z0053846,161,207
366,z0175378,161,207
368,z0175916,161,207
589,z0196810,160,208
420,z0195682,157,211
613,z0196846,157,211
37,z0040308,153,215
421,z0195683,153,215
643,z0197660,152,216
424,z0195688,151,217
281,z0056034,147,221
306,z0056374,146,222
428,z0195693,144,224
289,z0056069,142,226
341,z0100814,141,227
94,z0043496,139,229
66,z0041274,138,230
93,z0043494,137,231
1,z0005757,135,233
367,z0175915,132,236
414,z0195675,131,237
90,z0043489,129,239
496,z0195778,129,239
16,z0029828,126,242
45,z0040387,126,242
113,z0043819,126,242
83,z0043278,125,243
256,z0055909,125,243
487,z0195767,125,243
483,z0195762,124,244
107,z0043668,122,246
243,z0053757,119,249
330,z0063273,119,249
237,z0053133,118,250
287,z0056064,118,250
246,z0053760,114,254
586,z0196805,113,255
206,z0051929,111,257
288,z0056065,110,258
216,z0053025,106,262
144,z0045347,105,263
386,z0187911,105,263
398,z0195655,105,263
403,z0195663,105,263
337,z0066805,104,264
410,z0195671,102,266
196,z0051875,97,271
394,z0195648,95,273
95,z0043498,91,277
3,z0009880,83,285
266,z0055957,82,286
397,z0195653,82,286
416,z0195678,78,290
262,z0055936,72,296
404,z0195664,72,296
489,z0195770,72,296
405,z0195665,70,298
409,z0195670,69,299
331,z0063275,63,305
333,z0063328,63,305
422,z0195684,60,308
64,z0041248,58,310
413,z0195674,57,311
477,z0195751,56,312
265,z0055948,55,313
329,z0063269,55,313
77,z0041521,53,315
494,z0195776,53,315
425,z0195689,47,321
222,z0053055,45,323
411,z0195672,44,324
52,z0040957,39,329
33,z0037611,38,330
240,z0053149,38,330
480,z0195756,31,337
82,z0043243,30,338
345,z0107078,30,338
408,z0195669,26,342
102,z0043627,25,343
155,z0045407,23,345
193,z0051816,21,347
430,z0195695,20,348
490,z0195771,20,348
334,z0063342,19,349
419,z0195681,19,349
296,z0056089,18,350
427,z0195691,18,350
226,z0053082,17,351
491,z0195772,15,353
97,z0043513,14,354
210,z0051959,14,354
418,z0195680,13,355
89,z0043488,12,356
101,z0043599,12,356
417,z0195679,12,356
607,z0196840,12,356
184,z0051328,11,357
402,z0195662,11,357
294,z0056082,10,358
18,z0029831,7,361
109,z0043686,7,361
476,z0195749,7,361
88,z0043487,6,362
134,z0044059,6,362
501,z0195783,6,362
22,z0029861,5,363
322,z0061527,5,363
499,z0195781,5,363
356,z0113619,4,364
60,z0041145,3,365
242,z0053756,3,365
376,z0187811,3,365
485,z0195764,3,365
503,z0195786,3,365
635,z0196889,3,365
636,z0196890,3,365
58,z0041072,2,366
111,z0043704,2,366
124,z0043979,2,366
250,z0053845,2,366
482,z0195759,2,366
498,z0195780,2,366
14,z0025405,1,367
26,z0029866,1,367
32,z0037610,1,367
49,z0040451,1,367
53,z0040960,1,367
79,z0041526,1,367
118,z0043898,1,367
119,z0043904,1,367
132,z0044044,1,367
175,z0047587,1,367
176,z0047603,1,367
186,z0051399,1,367
190,z0051405,1,367
192,z0051447,1,367
204,z0051906,1,367
208,z0051945,1,367
255,z0055908,1,367
261,z0055932,1,367
293,z0056081,1,367
297,z0056090,1,367
299,z0056093,1,367
301,z0056102,1,367
303,z0056106,1,367
304,z0056111,1,367
310,z0056380,1,367
325,z0061978,1,367
332,z0063304,1,367
351,z0108494,1,367
353,z0108510,1,367
355,z0108516,1,367
357,z0113628,1,367
360,z0160234,1,367
363,z0175351,1,367
373,z0178294,1,367
388,z0195642,1,367
391,z0195645,1,367
392,z0195646,1,367
399,z0195656,1,367
426,z0195690,1,367
429,z0195694,1,367
454,z0195721,1,367
478,z0195754,1,367
481,z0195757,1,367
484,z0195763,1,367
486,z0195766,1,367
488,z0195769,1,367
493,z0195775,1,367
497,z0195779,1,367
504,z0195787,1,367
634,z0196888,1,367
