"","labID","genos","missing"
"231","z0196756",329,39
"232","z0196757",331,37
"233","z0196758",326,42
"234","z0196759",324,44
"235","z0196760",328,40
"236","z0196761",325,43
"237","z0196762",307,61
"238","z0196762b",323,45
"239","z0196765",327,41
"240","z0196767",326,42
"241","z0196768",326,42
"242","z0196770",312,56
"243","z0196772",327,41
"244","z0196773",323,45
"245","z0196775",327,41
"246","z0196777",329,39
"247","z0196778",328,40
"248","z0196781",328,40
"249","z0196783",331,37
"250","z0196792",2,366
"251","z0196793",304,64
"252","z0196794",323,45
"253","z0196795",309,59
"254","z0196800",281,87
"255","z0196804",307,61
"256","z0196806",232,136
"257","z0196810",1,367
"258","z0196811",81,287
"259","z0196812",208,160
"260","z0196822",329,39
"261","z0196823",328,40
"262","z0196826",329,39
"263","z0196830",277,91
"264","z0196831",324,44
"265","z0196832",293,75
"266","z0196833",312,56
"267","z0196833b",329,39
"268","z0196838",11,357
"269","z0196840",1,367
"270","z0196842",226,142
"271","z0196844",9,359
"272","z0196845",89,279
"273","z0196847",52,316
"274","z0196848",328,40
"275","z0196850",1,367
"276","z0196851",7,361
"277","z0196854",326,42
"278","z0196854b",330,38
"279","z0196858",252,116
"280","z0196859",330,38
"281","z0196860",329,39
"282","z0196861",327,41
"283","z0196862",329,39
"284","z0196863",329,39
"285","z0196865",329,39
"286","z0196886",303,65
"287","z0196887",95,273
"288","z0196888",11,357
"289","z0196889",1,367
"290","z0196891",76,292
"291","z0196892",107,261
"292","z0197658",124,244
"293","z0197658b",320,48
"294","z0197659",305,63
"295","z0197660",195,173
"296","z0197662",309,59
"297","z0197664",2,366
"298","z0197665",325,43
"299","z0197671",1,367
"300","z0197671b",302,66
"301","z0197673",317,51
"302","z0197679",331,37
